brand,title,salesPrice in Euro,collection,standard_price in Euro,Tag,Start Standard Price,End Standard Price,Start Sales Price,End Sales Price,Standard Price(€),Sales Price(€),Discount (%),info,Product Type
THE KOOPLES,Long-Sleeve Single-Breasted Suit Jacket, 316.00,Men's clothing, 395.00,EXTRA 10% OFF AT CHECKOUT,395.0,0.0,316.0,0.0,395.0,316.0,20.0,Long-Sleeve Single-Breasted Suit,Jacket
THE KOOPLES,Logo Crew Neck T-Shirt, 59.50,Men's clothing, 85.00,EXTRA 10% OFF AT CHECKOUT,85.0,0.0,59.5,0.0,85.0,59.5,30.0,Logo Crew Neck,T-Shirt
THE KOOPLES,High-Rise Wool Suit Trousers, 156.00,Men's clothing, 195.00,EXTRA 10% OFF AT CHECKOUT,195.0,0.0,156.0,0.0,195.0,156.0,20.0,High-Rise Wool Suit,Trousers
TED BAKER,Hasting Long Sleeve Twill Overshirt, 91.00,Men's clothing, 130.00,EXTRA 10% OFF AT CHECKOUT,130.0,0.0,91.0,0.0,130.0,91.0,30.0,Hasting Long Sleeve Twill,Overshirt
THE KOOPLES,Classic Wool Suit Trousers, 122.50,Men's clothing, 245.00,EXTRA 10% OFF AT CHECKOUT,245.0,0.0,122.5,0.0,245.0,122.5,50.0,Classic Wool Suit,Trousers
REISS,Searcy Linen Shorts, 92.00,Men's clothing, 140.00,EXTRA 10% OFF AT CHECKOUT,140.0,0.0,92.0,0.0,140.0,92.0,34.29,Searcy Linen,Shorts
REISS,Hendrix Polo Shirt, 62.00,Men's clothing, 95.00,EXTRA 10% OFF AT CHECKOUT,95.0,0.0,62.0,0.0,95.0,62.0,34.74,Hendrix Polo,Shirt
REISS,Leo Wool Zip Neck Polo, 64.00,Men's clothing, 170.00,EXTRA 10% OFF AT CHECKOUT,170.0,0.0,64.0,0.0,170.0,64.0,62.35,Leo Wool Zip Neck,Polo
REISS,Kace Garment Dye Hoodie, 64.00,Men's clothing, 140.00,EXTRA 10% OFF AT CHECKOUT,140.0,0.0,64.0,0.0,140.0,64.0,54.29,Kace Garment Dye,Hoodie
TED BAKER,Belmar Botanical Print Shirt, 80.00,Men's clothing, 115.00,EXTRA 10% OFF AT CHECKOUT,115.0,0.0,80.0,0.0,115.0,80.0,30.43,Belmar Botanical Print,Shirt
TED BAKER,Caplet Oxford Shirt, 49.00,Men's clothing, 99.00,EXTRA 10% OFF AT CHECKOUT,99.0,0.0,49.0,0.0,99.0,49.0,50.51,Caplet Oxford,Shirt
REISS,Sampson Cuban Collar Shirt, 93.00,Men's clothing, 170.00,EXTRA 10% OFF AT CHECKOUT,170.0,0.0,93.0,0.0,170.0,93.0,45.29,Sampson Cuban Collar,Shirt
REISS,Wade Slim Leg Jeans, 57.00,Men's clothing, 140.00,EXTRA 10% OFF AT CHECKOUT,140.0,0.0,57.0,0.0,140.0,57.0,59.29,Wade Slim Leg,Jeans
TED BAKER,Haworth Knitted Polo Shirt, 50.00,Men's clothing, 100.00,EXTRA 10% OFF AT CHECKOUT,100.0,0.0,50.0,0.0,100.0,50.0,50.0,Haworth Knitted Polo,Shirt
TED BAKER,Carlby Wool Coat, 170.00,Men's clothing, 425.00,EXTRA 10% OFF AT CHECKOUT,425.0,0.0,170.0,0.0,425.0,170.0,60.0,Carlby Wool,Coat
REISS,Roddie Long Sleeve Quilted Hybrid Jacket, 130.00,Men's clothing, 245.00,EXTRA 10% OFF AT CHECKOUT,245.0,0.0,130.0,0.0,245.0,130.0,46.94,Roddie Long Sleeve Quilted Hybrid,Jacket
REISS,Caspa Mercerised Cuban Shirt, 58.00,Men's clothing, 95.00,EXTRA 10% OFF AT CHECKOUT,95.0,0.0,58.0,0.0,95.0,58.0,38.95,Caspa Mercerised Cuban,Shirt
TED BAKER,Creswel Elasticated Drawstring Shorts, 70.00,Men's clothing, 100.00,EXTRA 10% OFF AT CHECKOUT,100.0,0.0,70.0,0.0,100.0,70.0,30.0,Creswel Elasticated Drawstring,Shorts
REISS,Roddie Long Sleeve Quilted Hybrid Jacket, 103.00,Men's clothing, 245.00,EXTRA 10% OFF AT CHECKOUT,245.0,0.0,103.0,0.0,245.0,103.0,57.96,Roddie Long Sleeve Quilted Hybrid,Jacket
REISS,Kid Half Zip Polo Shirt, 64.00,Men's clothing, 140.00,EXTRA 10% OFF AT CHECKOUT,140.0,0.0,64.0,0.0,140.0,64.0,54.29,Kid Half Zip Polo,Shirt
REISS,Vienna Wool Button Through Jacket, 134.00,Men's clothing, 395.00,EXTRA 10% OFF AT CHECKOUT,395.0,0.0,134.0,0.0,395.0,134.0,66.08,Vienna Wool Button Through,Jacket
REISS,Fival Textured Harrington Jacket, 135.00,Men's clothing, 325.00,EXTRA 10% OFF AT CHECKOUT,325.0,0.0,135.0,0.0,325.0,135.0,58.46,Fival Textured Harrington,Jacket
REISS,Holmes Ribbed Polo Shirt, 64.00,Men's clothing, 170.00,EXTRA 10% OFF AT CHECKOUT,170.0,0.0,64.0,0.0,170.0,64.0,62.35,Holmes Ribbed Polo,Shirt
REISS,Stall Seersucker Relaxed Fit Trousers, 63.00,Men's clothing, 195.00,EXTRA 10% OFF AT CHECKOUT,195.0,0.0,63.0,0.0,195.0,63.0,67.69,Stall Seersucker Relaxed Fit,Trousers
TED BAKER,Tinot Abstract Watercolour Print T-Shirt, 35.00,Men's clothing, 59.00,EXTRA 10% OFF AT CHECKOUT,59.0,0.0,35.0,0.0,59.0,35.0,40.68,Tinot Abstract Watercolour Print,T-Shirt
REISS,Duchie Merino Polo Shirt, 85.00,Men's clothing, 95.00,EXTRA 10% OFF AT CHECKOUT,95.0,0.0,85.0,0.0,95.0,85.0,10.53,Duchie Merino Polo,Shirt
TED BAKER,Wool Collared Jacket, 147.00,Men's clothing, 295.00,EXTRA 10% OFF AT CHECKOUT,295.0,0.0,147.0,0.0,295.0,147.0,50.17,Wool Collared,Jacket
REISS,Miami Long Sleeve Twin Pocket Overshirt,86.00,Men's clothing,86.00,EXTRA 10% OFF AT CHECKOUT,86.0,0.0,86.0,0.0,86.0,86.0,0.0,Miami Long Sleeve Twin Pocket,Overshirt
TED BAKER,Bellow Long Sleeve Satin Stretch Shirt, 57.00,Men's clothing, 115.00,EXTRA 10% OFF AT CHECKOUT,115.0,0.0,57.0,0.0,115.0,57.0,50.43,Bellow Long Sleeve Satin Stretch,Shirt
REISS,Herald Striped Half Zip Polo Shirt, 67.00,Men's clothing, 145.00,EXTRA 10% OFF AT CHECKOUT,145.0,0.0,67.0,0.0,145.0,67.0,53.79,Herald Striped Half Zip Polo,Shirt
TED BAKER,Allard Jacquard Polo Shirt, 59.00,Men's clothing, 85.00,EXTRA 10% OFF AT CHECKOUT,85.0,0.0,59.0,0.0,85.0,59.0,30.59,Allard Jacquard Polo,Shirt
REISS,Angelo Check Overshirt, 105.00,Men's clothing, 195.00,EXTRA 10% OFF AT CHECKOUT,195.0,0.0,105.0,0.0,195.0,105.0,46.15,Angelo Check,Overshirt
TED BAKER,Kymsho Floral Shirt, 77.00,Men's clothing, 110.00,EXTRA 10% OFF AT CHECKOUT,110.0,0.0,77.0,0.0,110.0,77.0,30.0,Kymsho Floral,Shirt
TED BAKER,Bering Mixed Stripe Rugby Polo, 50.00,Men's clothing, 125.00,EXTRA 10% OFF AT CHECKOUT,125.0,0.0,50.0,0.0,125.0,50.0,60.0,Bering Mixed Stripe Rugby,Polo
TED BAKER,Kilbrn Half Zip Sweatshirt, 57.00,Men's clothing, 115.00,EXTRA 10% OFF AT CHECKOUT,115.0,0.0,57.0,0.0,115.0,57.0,50.43,Kilbrn Half Zip,Sweatshirt
TED BAKER,Capsho Short Sleeve Oxford Shirt, 70.00,Men's clothing, 100.00,EXTRA 10% OFF AT CHECKOUT,100.0,0.0,70.0,0.0,100.0,70.0,30.0,Capsho Short Sleeve Oxford,Shirt
REISS,Bergamo Wool Blend Herringbone Peacoat, 256.00,Men's clothing, 425.00,EXTRA 10% OFF AT CHECKOUT,425.0,0.0,256.0,0.0,425.0,256.0,39.76,Bergamo Wool Blend Herringbone,Peacoat
REISS,Pike Suede Zip-Through Trucker Jacket, 257.00,Men's clothing, 540.00,EXTRA 10% OFF AT CHECKOUT,540.0,0.0,257.0,0.0,540.0,257.0,52.41,Pike Suede Zip-Through Trucker,Jacket
REISS,Holiday Linen Slim Fit Shirt, 77.00,Men's clothing, 120.00,EXTRA 10% OFF AT CHECKOUT,120.0,0.0,77.0,0.0,120.0,77.0,35.83,Holiday Linen Slim Fit,Shirt
REISS,East Long Sleeve Press Stud Polo Shirt, 70.00,Men's clothing, 195.00,EXTRA 10% OFF AT CHECKOUT,195.0,0.0,70.0,0.0,195.0,70.0,64.1,East Long Sleeve Press Stud Polo,Shirt
REISS,Jack Jacquard Shirt, 64.00,Men's clothing, 140.00,EXTRA 10% OFF AT CHECKOUT,140.0,0.0,64.0,0.0,140.0,64.0,54.29,Jack Jacquard,Shirt
REISS,Herald Striped Half Zip Polo Shirt, 67.00,Men's clothing, 145.00,EXTRA 10% OFF AT CHECKOUT,145.0,0.0,67.0,0.0,145.0,67.0,53.79,Herald Striped Half Zip Polo,Shirt
REISS,Frost Faux Fur Trim Puffer Jacket, 135.00,Men's clothing, 425.00,EXTRA 10% OFF AT CHECKOUT,425.0,0.0,135.0,0.0,425.0,135.0,68.24,Frost Faux Fur Trim Puffer,Jacket
TED BAKER,Taigaa Stripe Panelled Polo Shirt, 42.00,Men's clothing, 85.00,EXTRA 10% OFF AT CHECKOUT,85.0,0.0,42.0,0.0,85.0,42.0,50.59,Taigaa Stripe Panelled Polo,Shirt
REISS,Ricco Open Collar Stripe Polo Shirt, 108.00,Men's clothing, 170.00,EXTRA 10% OFF AT CHECKOUT,170.0,0.0,108.0,0.0,170.0,108.0,36.47,Ricco Open Collar Stripe Polo,Shirt
TED BAKER,Baren Irvine Fit Textured Trousers, 87.00,Men's clothing, 125.00,EXTRA 10% OFF AT CHECKOUT,125.0,0.0,87.0,0.0,125.0,87.0,30.4,Baren Irvine Fit Textured,Trousers
REISS,Hendrix Polo Shirt, 62.00,Men's clothing, 95.00,EXTRA 10% OFF AT CHECKOUT,95.0,0.0,62.0,0.0,95.0,62.0,34.74,Hendrix Polo,Shirt
REISS,Bear Micro Fleece Joggers, 64.00,Men's clothing, 170.00,EXTRA 10% OFF AT CHECKOUT,170.0,0.0,64.0,0.0,170.0,64.0,62.35,Bear Micro Fleece,Joggers
REISS,Dudley Half-Zip Tipped Polo Shirt, 80.00,Men's clothing, 145.00,EXTRA 10% OFF AT CHECKOUT,145.0,0.0,80.0,0.0,145.0,80.0,44.83,Dudley Half-Zip Tipped Polo,Shirt
REISS,Spark Single-Breasted Blazer, 320.00,Men's clothing, 425.00,EXTRA 10% OFF AT CHECKOUT,425.0,0.0,320.0,0.0,425.0,320.0,24.71,Spark Single-Breasted,Blazer
